"","subject","mean_incongruent","mean_congruent","contrast"
"1",10,0.558408695652174,0.504925531914893,0.0534831637372806
"2",19,0.489364444444444,0.473570212765957,0.015794231678487
"3",26,0.5265,0.56956511627907,-0.0430651162790696
"4",34,0.633808695652174,0.564972916666667,0.0688357789855073
"5",38,0.587870454545455,0.561540425531915,0.0263300290135398
"6",41,1.20697777777778,0.900531914893617,0.306445862884161
"7",45,0.42083,0.45276,-0.0319299999999999
"8",51,0.681813157894737,0.509632558139535,0.172180599755202
"9",53,0.54952,0.4777375,0.0717825000000002
"10",54,0.758645454545455,0.630445833333333,0.128199621212122
"11",55,0.491578723404255,0.494404444444445,-0.00282572104018919
"12",56,0.661210638297872,0.561170212765957,0.100040425531915
"13",58,0.616062222222222,0.590014893617021,0.026047328605201
"14",64,0.685221875,0.673293548387097,0.0119283266129033
"15",66,0.918928571428572,0.776084444444445,0.142844126984127
"16",68,0.62513125,0.617727083333333,0.00740416666666677
"17",70,0.721945833333333,0.720114583333333,0.00183125000000006
"18",72,0.516791176470588,0.480245,0.0365461764705881
"19",80,0.601104166666666,0.631414583333333,-0.0303104166666668
"20",81,0.53080652173913,0.483089583333333,0.047716938405797
"21",90,0.580813636363636,0.544134042553191,0.0366795938104451
"22",99,0.485806666666667,0.480872340425532,0.00493432624113499
"23",112,0.851397872340426,0.768289583333333,0.0831082890070922
"24",117,0.507046666666667,0.47011914893617,0.0369275177304965
"25",120,0.445683333333333,0.468457777777778,-0.0227744444444444
"26",125,0.477306818181818,0.461215217391304,0.0160916007905138
"27",126,0.946955319148936,0.755836170212766,0.19111914893617
"28",129,0.660819512195122,0.616768085106383,0.0440514270887392
"29",132,0.725389583333333,0.69669375,0.0286958333333333
"30",137,0.92868,1.0141,-0.0854200000000001
"31",148,0.568902083333333,0.59338,-0.0244779166666667
"32",152,0.801527272727272,0.768789583333333,0.0327376893939393
"33",173,0.591456097560976,0.664058536585366,-0.0726024390243902
"34",187,0.850067441860465,0.697154347826087,0.152913094034378
"35",192,0.812531578947368,0.766345833333333,0.0461857456140351
"36",199,0.521067391304348,0.478027083333333,0.0430403079710144
"37",205,0.729314583333333,0.695404166666667,0.0339104166666667
"38",210,0.616328260869565,0.587939583333334,0.0283886775362315
"39",214,1.16800909090909,1.02623181818182,0.141777272727273
"40",22,0.604979069767442,0.571702127659574,0.0332769421078676
"41",49,0.644347619047619,0.569685416666667,0.0746622023809522
"42",57,0.6539625,0.529232608695652,0.124729891304348
"43",75,0.7870125,0.705689583333333,0.0813229166666667
"44",78,1.13023555555556,1.11957777777778,0.0106577777777772
"45",88,0.7810125,0.635348837209302,0.145663662790698
"46",92,0.6768625,0.6441,0.0327625
"47",102,0.980720833333334,0.846131914893617,0.134588918439717
"48",113,0.526444186046512,0.437181395348837,0.0892627906976746
"49",114,0.587339130434782,0.589385416666666,-0.00204628623188396
"51",182,0.638058139534884,0.56888125,0.0691768895348838
"52",193,0.72095,0.577479166666667,0.143470833333334
"53",198,0.595535555555555,0.54525,0.0502855555555555
"54",25,0.593446341463415,0.532046808510638,0.0613995329527764
"55",29,0.670051063829787,0.6647625,0.00528856382978715
"56",30,0.459363636363636,0.442797777777778,0.0165658585858586
"57",37,1.0883,1.08250833333333,0.00579166666666686
"58",39,0.518244444444445,0.46645625,0.0517881944444446
"59",42,0.448056818181818,0.393020833333333,0.0550359848484848
"60",46,0.686848936170213,0.621825,0.0650239361702128
"61",47,0.523997872340425,0.501385416666667,0.0226124556737588
"62",48,0.424002222222222,0.392628888888889,0.0313733333333334
"63",59,0.68626170212766,0.72918125,-0.0429195478723403
"64",61,0.607063636363636,0.562359090909091,0.0447045454545455
"65",69,0.493806382978723,0.572840425531915,-0.0790340425531915
"66",71,0.527569047619048,0.488868888888889,0.0387001587301586
"67",76,0.650358139534884,0.601397727272727,0.0489604122621564
"68",77,0.57655652173913,0.547457777777778,0.0290987439613526
"69",79,0.612424444444444,0.561363829787234,0.0510606146572103
"70",84,0.490585106382979,0.461095555555556,0.0294895508274232
"71",85,0.614255319148936,0.60615,0.0081053191489362
"72",91,0.482646808510638,0.486922727272727,-0.0042759187620891
"73",93,0.55445625,0.492817777777778,0.0616384722222222
"74",95,0.555629545454545,0.555147826086957,0.000481719367588784
"75",97,0.979239130434783,0.868210638297872,0.11102849213691
"76",104,0.450454545454545,0.421665957446808,0.0287885880077371
"77",105,0.446602127659575,0.449631111111111,-0.00302898345153652
"78",109,0.907006060606061,0.7282,0.178806060606061
"79",119,0.507397826086956,0.441570833333333,0.0658269927536231
"80",124,0.67114,0.556765957446808,0.114374042553192
"81",128,0.762864583333333,0.711078723404255,0.0517858599290779
"82",130,0.488791111111111,0.465965217391304,0.0228258937198068
"83",134,0.639710869565217,0.565127659574468,0.0745832099907493
"84",135,0.564282222222222,0.529404166666667,0.0348780555555555
"85",138,0.738666666666667,0.3775,0.361166666666667
"86",139,0.54356511627907,0.487123404255319,0.0564417120237508
"87",141,0.533376595744681,0.457317777777778,0.0760588179669031
"88",142,0.708221621621621,0.613634090909091,0.0945875307125307
"89",143,0.639579069767442,0.586742857142857,0.0528362126245848
"90",144,0.714063829787234,0.705546666666667,0.00851716312056738
"91",146,0.815521276595745,0.745533333333333,0.0699879432624112
"92",147,0.632439534883721,0.615993333333333,0.0164462015503878
"93",149,0.508744444444445,0.510997872340425,-0.00225342789598093
"94",154,0.50932,1.18185,-0.67253
"95",155,0.750204444444444,0.712433333333333,0.0377711111111112
"96",170,0.6590375,0.621777083333333,0.0372604166666667
